CÓDIGO BIC,ID_REGAGE,MUNICIPIO,PROVINCIA,BIEN,DIRECCIÓN/LUGAR,X,Y,CATEGORÍA,FECHA DECLARACIÓN,FECHA DIARIO,FECHA BOLETÍN,HAY DATOS,ENTREGADO
,,Columna1,Columna7,Columna2,Columna8,Columna9,Columna10,Columna3,Columna12,Columna13,Columna14,,
3136,(R.I.) - 51 – 0000487 - 00000,CÁCERES,CÁCERES,Iglesia Parroquial de Santa María,"Plaza de Santa María, 3 CP: 10003",210113,4374859,Monumento,,,LA GACETA: 04-06-1931,,
4151,(R.I.) - 51 – 0001447 – 00000,CÁCERES,CÁCERES,Cueva de Maltravieso,"Av. de Cervantes, 54, CP. 10005",209886,4373031,Zona Arqueológica,DECRETO 25-04-1963,,20/05/1963,,
9922,(R.I.) - 51 – 0007147 - 00000,CÁCERES,CÁCERES,"Chalet de los Málagas (Avda. de España, 13)","Avenida España, 13 CP. 10002",209514,4374517,Monumento,"DECRETO 130/1993, de 30 noviembre y DECRETO252/2000, de 19 diciembre",DOE: 02-12-1993 y DOE:26-12-2000,BOE: 16-03-2001,,
15554,(R.I.) - 53 – 0000016 - 00001 (R.I.) - 53 – 0000016 – 00002 (R.I.) - 53 – 0000016 – 00003 (R.I.) - 53 – 0000016 – 00004   (R.I.) - 53 – 0000016 – 00005 (R.I.) - 53 – 0000016 - 00006 (R.I.) - 53 – 0000016 – 00007  (R.I.) - 53 – 0000016 – 00008   (R.I.) - 53 – 0000016 – 00009,CÁCERES,CÁCERES,Conjunto Histórico Monumental,"Plaza Mayor, 1 CP. 10003",210058,4374751,Conjunto Histórico,DECRETO 21-01-1949,,BOE: 02-02-1949,,
,(R.I.) - 53 - 0000016 - 00003,CÁCERES,CÁCERES,Casa Plaza de la Concepción/Casa de la Isla,"Pl. de la Concepción, 4 CP. 10003",209886,4374950,Conjunto Histórico,DECRETO 21-01-1949,,BOE: 02-02-1949,,
15558,(R.I.) - 53 - 0000016 - 00004,CÁCERES,CÁCERES,"Casa de la Roca, Palacio de Godoy","C. Camberos, 6, CP. 10003","210138,26","4375027,87",Conjunto Histórico,,,BOE: 02-02-1949,,
15559,(R.I.) - 53 - 0000016 - 00005,CÁCERES,CÁCERES,Colegio Viejo de San Pedro,Calle San Pedro,,,Conjunto Histórico,,,BOE: 02-02-1949,,
,(R.I.) - 53 - 0000016 - 00006,CÁCERES,CÁCERES,Iglesia de Santiago,"Pl. de Santiago, 10, CP. 10003",210198,4375040,Conjunto Histórico,DECRETO 21-01-1949,,BOE: 02-02-1949,,
15561,(R.I.) - 53 - 0000016 - 00007,CÁCERES,CÁCERES,Convento de San Francisco," Rda. de San Francisco, 13, CP. 10002",210270,4374096,Conjunto Histórico,,,BOE: 02-02-1949,,
15562,(R.I.) - 53 - 0000016 - 00008,CÁCERES,CÁCERES,Ermita del Espíritu Santo,"C. la Roche Sur Yon, 27, CP. 10002 ",210249,4373367,Conjunto Histórico,,,BOE: 02-02-1949,,1
,(R.I.) - 53 - 0000016 - 00009,CÁCERES,CÁCERES,Santuario de Nuestra Señora de la Montaña,"Ctra. de la Montaña, s/n, CP. 10003 ",211635,4373450,Conjunto Histórico,DECRETO 21-01-1949,,BOE: 02-02-1949,,
